trial_number,learning_rate,batch_size,hidden_size,num_layers,fold_1_val_loss,fold_2_val_loss,fold_3_val_loss,fold_4_val_loss,fold_5_val_loss,avg_validation_loss,avg_test_loss,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std
0,2.6565450821928437e-05,64,256,3,0.01702321134507656,0.020107537508010864,5.680970668792725,0.01118005346506834,0.014806208200752735,1.1488175358623267,2.1595159363001586,0.3951506718993187,0.4132358221039935,0.9270112693309784,1.140248227790089
1,2.8519847491974242e-05,64,64,1,13.939767837524414,41.64693069458008,64.4111099243164,79.64112091064453,23.98560905456543,44.72490768432617,45.54407024383545,4.5098738193511965,1.7240467154325734,6.451224946975708,1.981355037192472
2,2.490743478997955e-05,16,128,3,1.7886251211166382,0.0831325426697731,0.19706134498119354,0.04621424525976181,0.06898269802331924,0.43680319041013715,0.7488191559910774,0.33563388884067535,0.252316461668449,0.6308667540550232,0.5923059208734328
3,1.3269220034595858e-05,128,256,2,5.6988654136657715,5.523322582244873,5.2323317527771,5.827543258666992,4.507882118225098,5.357989025115967,5.340441513061523,0.8856841444969177,0.07344613231672986,2.3070398330688477,0.13419639824084226
4,0.0007721598996478031,64,16,2,20.38994026184082,23.708866119384766,19.721651077270508,15.406229019165039,35.29909896850586,22.9051570892334,28.442141342163087,3.2094932556152345,0.6308140889851128,5.299535465240479,0.5975489091660935
5,0.0008571657989224635,32,256,1,0.01973535120487213,0.04100251942873001,2.320185899734497,0.8501270413398743,1.0721409320831299,0.8606383487582207,7.250195985287428,0.8395913064479827,0.378440522345732,2.4166993468999864,1.187333328779708
6,0.00020138375332521167,64,256,1,0.03353225812315941,0.0359010323882103,0.07298650592565536,0.5818591117858887,0.027767259627580643,0.1504092335700989,5.292057893425226,0.6525616377592087,0.4658971141891449,1.7167898029088975,1.5312382335085477
7,0.0003926933648993978,64,64,2,1.3433948755264282,3.49005126953125,4.670962810516357,4.113790988922119,1.4951350688934326,3.0226670026779177,7.429191470146179,1.0469579696655273,0.32273632881723774,2.5220974922180175,1.033545230953043
8,4.448871501709774e-05,64,64,2,12.39293098449707,2.713660717010498,2.577488660812378,2.8448472023010254,5.145812511444092,5.134948015213013,5.261785364151001,1.1748826861381532,0.42099967170899344,2.1688426733016968,0.7469316092116909
9,0.00016101411735782326,16,128,1,0.044064830988645554,0.028702272102236748,0.048170749098062515,0.023989075794816017,0.0130439642816782,0.031594178453087804,9.647296953201295,0.9707909464836121,0.3290801448129383,2.857178258895874,1.218125391260186
